tag,seed,condition,axis,group,samples,sequences,supported,accuracy,macro_f1
redundant36,7,sparse_context,N_x_original_shape,17-32:intermediate,15880,25,True,0.9884130982367758,0.9877053736393806
redundant36,7,sparse_context,N_x_original_shape,17-32:compact,2255,22,True,0.987139689578714,0.9702995838444632
redundant36,7,sparse_context,N_x_original_shape,33-64:elongated,725,21,True,1.0,1.0
redundant36,7,sparse_context,N_x_original_shape,33-64:intermediate,355,22,True,0.9887323943661972,0.9883659959362915
redundant36,7,sparse_context,N_x_original_shape,33-64:compact,46,12,False,0.9782608695652174,0.9780009564801531
redundant36,7,sparse_context,N_x_original_shape,65-511:elongated,104,10,False,1.0,
redundant36,7,sparse_context,N_x_original_shape,65-511:intermediate,35,13,False,1.0,1.0
redundant36,7,sparse_context,N_x_original_shape,65-511:compact,1,1,False,1.0,
redundant36,7,sparse_context,history,none,29596,27,True,0.9436072442221922,0.9429116114793963
redundant36,7,sparse_context,history,one_to_five,20891,27,True,0.9637643004164472,0.9635278747645288
redundant36,7,sparse_context,history,six,47247,27,True,0.9867716468770504,0.9863795825209221
redundant36,7,sparse_context,current_points,1,58612,27,True,0.9650583498259742,0.9646372452925712
redundant36,7,sparse_context,current_points,2,39122,27,True,0.9743622514186391,0.9743622308987872
redundant36,7,sparse_context,current_points,ge3,0,0,False,,
redundant36,7,sparse_context,current_range,le20,11734,27,True,0.9794613942389637,0.977278507015327
redundant36,7,sparse_context,current_range,20to40,33802,26,True,0.9725755872433584,0.9680323028419899
redundant36,7,sparse_context,current_range,gt40,52198,27,True,0.9639258209126786,0.9625658841447033
redundant36,7,sparse_context,N_x_original_shape,1-2:undefined_low_support,29596,27,True,0.9436072442221922,0.9429116114793963
redundant36,7,sparse_context,N_x_original_shape,3-4:undefined_low_support,0,0,False,,
redundant36,7,sparse_context,N_x_original_shape,5-8:undefined_low_support,0,0,False,,
redundant36,7,sparse_context,N_x_original_shape,9-16:undefined_low_support,0,0,False,,
redundant36,7,sparse_context,N_x_original_shape,17-32:undefined_low_support,0,0,False,,
redundant36,7,sparse_context,N_x_original_shape,33-64:undefined_low_support,0,0,False,,
redundant36,7,sparse_context,N_x_original_shape,65-511:undefined_low_support,0,0,False,,
redundant36,17,clean,retained_N,1-2,0,0,False,,
redundant36,17,clean,retained_N,3-4,1615,27,True,0.9207430340557275,0.9123036249418808
redundant36,17,clean,retained_N,5-8,1566,27,True,0.9374201787994891,0.9295977011494253
redundant36,17,clean,retained_N,9-16,3392,27,True,0.9578419811320755,0.9525687324396228
redundant36,17,clean,retained_N,17-32,37944,27,True,0.9866909129243095,0.9866390072550588
redundant36,17,clean,retained_N,33-64,26522,27,True,0.9915164768871126,0.9908163428545635
redundant36,17,clean,retained_N,65-511,9411,23,True,0.9959621719264691,0.9915428971100488
redundant36,17,clean,original_shape,compact,4336,26,True,0.9845479704797048,0.9804300166220101
redundant36,17,clean,original_shape,elongated,45116,27,True,0.9883854951680113,0.9838745961235275
redundant36,17,clean,original_shape,intermediate,30998,27,True,0.982385960384541,0.9821928551728254
redundant36,17,clean,N_x_original_shape,1-2:elongated,0,0,False,,
redundant36,17,clean,N_x_original_shape,1-2:intermediate,0,0,False,,
redundant36,17,clean,N_x_original_shape,1-2:compact,0,0,False,,
redundant36,17,clean,N_x_original_shape,3-4:elongated,1081,26,True,0.9185938945420906,0.9136361985691979
redundant36,17,clean,N_x_original_shape,3-4:intermediate,484,27,True,0.9214876033057852,0.899596025767005
redundant36,17,clean,N_x_original_shape,3-4:compact,50,14,False,0.96,0.9554367201426025
redundant36,17,clean,N_x_original_shape,5-8:elongated,932,27,True,0.9506437768240343,0.942100856224509
redundant36,17,clean,N_x_original_shape,5-8:intermediate,568,25,True,0.9242957746478874,0.9185386044432882
redundant36,17,clean,N_x_original_shape,5-8:compact,66,17,False,0.8636363636363636,0.8581323143061859
redundant36,17,clean,N_x_original_shape,9-16:elongated,2275,26,True,0.9661538461538461,0.9595366376198973
redundant36,17,clean,N_x_original_shape,9-16:intermediate,996,27,True,0.9437751004016064,0.9411069063386944
redundant36,17,clean,N_x_original_shape,9-16:compact,121,18,True,0.9173553719008265,0.9173497267759563
redundant36,17,clean,N_x_original_shape,17-32:elongated,19967,27,True,0.9877798367306055,0.9859621044694278
redundant36,17,clean,N_x_original_shape,17-32:intermediate,15866,27,True,0.9849993697214169,0.9842737843837248
redundant36,17,clean,N_x_original_shape,17-32:compact,2111,22,True,0.9891046897205116,0.9802836621961466
redundant36,17,clean,N_x_original_shape,33-64:elongated,14587,26,True,0.9956125317063138,0.9921942579341031
redundant36,17,clean,N_x_original_shape,33-64:intermediate,10253,25,True,0.986442992294938,0.9860932362373105
redundant36,17,clean,N_x_original_shape,33-64:compact,1682,21,True,0.9869203329369798,0.9841423299170176
redundant36,17,clean,N_x_original_shape,65-511:elongated,6274,20,True,0.9992030602486452,0.9966108129651692
redundant36,17,clean,N_x_original_shape,65-511:intermediate,2831,22,True,0.9886965736488873,0.9861341718461486
redundant36,17,clean,N_x_original_shape,65-511:compact,306,14,True,0.9967320261437909,0.9963499731615674
redundant36,17,clean,history,none,1846,27,True,0.9236186348862405,0.9124628586130182
redundant36,17,clean,history,one_to_five,8062,27,True,0.959563383775738,0.9505239818099563
redundant36,17,clean,history,six,70542,27,True,0.9905021122168354,0.9900806927243725
redundant36,17,clean,current_points,1,0,0,False,,
redundant36,17,clean,current_points,2,0,0,False,,
redundant36,17,clean,current_points,ge3,80450,27,True,0.9858669981354878,0.9850647959535781
redundant36,17,clean,current_range,le20,26404,27,True,0.9883729737918497,0.987997013988422
redundant36,17,clean,current_range,20to40,36863,27,True,0.9887692265957735,0.9883983397646035
redundant36,17,clean,current_range,gt40,17183,27,True,0.9757900250247338,0.9703121645745839
redundant36,17,uniform_half_0,retained_N,1-2,1615,27,True,0.9120743034055727,0.9032793826885573
redundant36,17,uniform_half_0,retained_N,3-4,1566,27,True,0.9284802043422733,0.9199947451392538
redundant36,17,uniform_half_0,retained_N,5-8,3392,27,True,0.9404481132075472,0.9339219164866162
redundant36,17,uniform_half_0,retained_N,9-16,37944,27,True,0.9811827956989247,0.9811058135106733
redundant36,17,uniform_half_0,retained_N,17-32,26522,27,True,0.9872558630570847,0.9862492096211067
redundant36,17,uniform_half_0,retained_N,33-64,8842,23,True,0.9934403980999774,0.9868057230738325
redundant36,17,uniform_half_0,retained_N,65-511,569,14,True,0.9982425307557118,0.988903406985588
redundant36,17,uniform_half_0,original_shape,compact,4336,26,True,0.9773985239852399,0.9712280564908586
redundant36,17,uniform_half_0,original_shape,elongated,45116,27,True,0.9847725862221828,0.9789248991746312
redundant36,17,uniform_half_0,original_shape,intermediate,30998,27,True,0.9747725659719982,0.9744826660984236
redundant36,17,uniform_half_0,N_x_original_shape,1-2:elongated,1081,26,True,0.9111933395004626,0.9060469765117442
redundant36,17,uniform_half_0,N_x_original_shape,1-2:intermediate,484,27,True,0.9132231404958677,0.890625
redundant36,17,uniform_half_0,N_x_original_shape,1-2:compact,50,14,False,0.92,0.9131944444444444
redundant36,17,uniform_half_0,N_x_original_shape,3-4:elongated,932,27,True,0.9388412017167382,0.9287330817535815
redundant36,17,uniform_half_0,N_x_original_shape,3-4:intermediate,568,25,True,0.9154929577464789,0.9096883612465549
redundant36,17,uniform_half_0,N_x_original_shape,3-4:compact,66,17,False,0.8939393939393939,0.888162672476398
redundant36,17,uniform_half_0,N_x_original_shape,5-8:elongated,2275,26,True,0.9525274725274725,0.9439719572462935
redundant36,17,uniform_half_0,N_x_original_shape,5-8:intermediate,996,27,True,0.9186746987951807,0.9158333568068505
redundant36,17,uniform_half_0,N_x_original_shape,5-8:compact,121,18,True,0.8925619834710744,0.8922971585073605
redundant36,17,uniform_half_0,N_x_original_shape,9-16:elongated,19967,27,True,0.9832723994591075,0.980788962825492
redundant36,17,uniform_half_0,N_x_original_shape,9-16:intermediate,15866,27,True,0.9786965838900794,0.9777000427144572
redundant36,17,uniform_half_0,N_x_original_shape,9-16:compact,2111,22,True,0.980104216011369,0.9643628874333177
redundant36,17,uniform_half_0,N_x_original_shape,17-32:elongated,14587,26,True,0.9939672310961816,0.9893426264852838
redundant36,17,uniform_half_0,N_x_original_shape,17-32:intermediate,10253,25,True,0.9786403979323125,0.9780307356427406
redundant36,17,uniform_half_0,N_x_original_shape,17-32:compact,1682,21,True,0.9815695600475625,0.977364001460387
redundant36,17,uniform_half_0,N_x_original_shape,33-64:elongated,5882,20,True,0.9993199591975519,0.9972472560309288
redundant36,17,uniform_half_0,N_x_original_shape,33-64:intermediate,2658,22,True,0.9800601956358164,0.976178103653675
redundant36,17,uniform_half_0,N_x_original_shape,33-64:compact,302,14,True,0.9966887417218543,0.9963418327175821
redundant36,17,uniform_half_0,N_x_original_shape,65-511:elongated,392,12,True,1.0,1.0
redundant36,17,uniform_half_0,N_x_original_shape,65-511:intermediate,173,12,True,0.9942196531791907,0.984106568672485
redundant36,17,uniform_half_0,N_x_original_shape,65-511:compact,4,3,False,1.0,
redundant36,17,uniform_half_0,history,none,1846,27,True,0.9154929577464789,0.9037828518733837
redundant36,17,uniform_half_0,history,one_to_five,8062,27,True,0.9472835524683701,0.9362895637699657
redundant36,17,uniform_half_0,history,six,70542,27,True,0.9860225114116413,0.9854094371342579
