tag,seed,condition,samples,accuracy,macro_f1,recall_class0,f1_class0,precision_class0,true0_pred0,true0_pred1,recall_class1,f1_class1,precision_class1,true1_pred0,true1_pred1
support17,37,central_half,80450,0.9694592914853947,0.9680015939315794,0.9955478443054965,0.9611719527805433,0.929090797995845,30411,136,0.953489770154099,0.9748312350826154,0.9971499224611258,2321,47582
support17,37,xy_fraction6,80450,0.9830950901180857,0.9821175073218651,0.9866762693554195,0.9779364049318624,0.9693500144727109,30140,407,0.9809029517263491,0.9862986097118678,0.9917539558725206,953,48950
support17,37,xy_fraction4,80450,0.9830080795525171,0.9820257966065737,0.9866107964775592,0.9778239216131597,0.9691921790583998,30138,409,0.9808027573492576,0.9862276715999879,0.9917129310694168,958,48945
support17,37,kept_single,80450,0.9685146053449347,0.9668501328905346,0.9802926637640358,0.9594220079137498,0.9394215083448363,29945,602,0.9613049315672404,0.9742782578673193,0.9876065384773747,1931,47972
support17,37,sparse_single,97734,0.9513986944154542,0.9511694858517683,0.9722980881779165,0.954514986115101,0.9373706977618959,49840,1420,0.9283470327494944,0.9478239855884356,0.9681357149268468,3330,43144
support17,37,sparse_context,97734,0.9651605377862361,0.9650188071718406,0.9807842372220055,0.967245442739647,0.9540753392162444,50275,985,0.9479278736497827,0.9627921716040344,0.9781300650547303,2420,44054
support24,7,clean,80450,0.9853697949036668,0.9845478179588987,0.9938455494811275,0.9809839243880766,0.9684509378588746,30359,188,0.9801815522112899,0.9881117115297208,0.9961712353875606,989,48914
support24,7,uniform_half_0,80450,0.9800248601615911,0.9789203901780168,0.9890987658362523,0.9740952687998711,0.9595401422764228,30214,333,0.9744704727170711,0.9837455115561624,0.9931988072382664,1274,48629
support24,7,uniform_half_1,80450,0.9794530764449969,0.9783136029054889,0.9879202540347661,0.9733425793030044,0.9591888627550696,30178,369,0.9742700839628881,0.9832846265079734,0.9924675430717727,1284,48619
support24,7,uniform_half_2,80450,0.9798756991920448,0.9787629817661538,0.9889023472026713,0.9739018296123156,0.959349593495935,30208,339,0.9743502394645612,0.9836241339199919,0.9930762632245415,1280,48623
support24,7,uniform_quarter_0,80450,0.9720696084524549,0.9706143686931454,0.9870036337447212,0.9640750155882776,0.9421875,30150,397,0.9629280804761237,0.9771537217980133,0.9918059855521156,1850,48053
