tag,reference,seed,condition,delta_macro_f1,new_errors,repaired_errors
redundant23,base16,7,uniform_quarter_2,0.000491061664380732,399,439
redundant23,base16,17,uniform_quarter_2,-0.00038774659695184344,470,442
redundant23,base16,37,uniform_quarter_2,-0.0001875576870065121,447,430
redundant23,base16,7,central_half,0.0007814282758793478,362,424
redundant23,base16,17,central_half,-0.00034797113406515034,405,378
redundant23,base16,37,central_half,-0.0012675505224407635,422,323
redundant23,base16,7,xy_fraction6,0.00023051480175118044,254,272
redundant23,base16,17,xy_fraction6,0.00015376754700657802,280,292
redundant23,base16,37,xy_fraction6,-1.5183624300196819e-05,292,290
redundant23,base16,7,xy_fraction4,9.823967124278354e-05,262,270
redundant23,base16,17,xy_fraction4,0.0001549414680799277,282,294
redundant23,base16,37,xy_fraction4,7.74133017116263e-05,288,293
redundant23,base16,7,kept_single,0.0016568985076379494,430,559
redundant23,base16,17,kept_single,-0.0006304919725828029,531,483
redundant23,base16,37,kept_single,-0.0007739556943582304,527,466
redundant23,base16,7,sparse_single,-0.0011335540531035582,605,495
redundant23,base16,17,sparse_single,-0.0016111238721487897,667,510
redundant23,base16,37,sparse_single,-0.0011514845106603833,611,500
redundant23,base16,7,sparse_context,0.0001494063869258433,450,464
redundant23,base16,17,sparse_context,-0.0014978142094831393,578,432
redundant23,base16,37,sparse_context,-1.0737528828630438e-05,468,468
combined23,geometry19,7,clean,0.00299677334685855,300,529
combined23,geometry19,17,clean,0.0026764864248737252,372,575
combined23,geometry19,37,clean,0.0037094473735790334,383,662
combined23,geometry19,7,uniform_half_0,0.002237025221893285,418,590
combined23,geometry19,17,uniform_half_0,0.0018965286938350534,481,625
combined23,geometry19,37,uniform_half_0,0.0023386212041817123,500,673
combined23,geometry19,7,uniform_half_1,0.002981399041695143,405,634
combined23,geometry19,17,uniform_half_1,0.0014970150574535879,525,639
combined23,geometry19,37,uniform_half_1,0.002251299988789479,525,692
combined23,geometry19,7,uniform_half_2,0.0023266108532515872,438,617
combined23,geometry19,17,uniform_half_2,0.0014615612332236072,508,619
combined23,geometry19,37,uniform_half_2,0.002244459767910767,499,665
combined23,geometry19,7,uniform_quarter_0,0.002112076556151532,541,705
combined23,geometry19,17,uniform_quarter_0,0.0008450468328220495,651,719
