tag,reference,condition,seed,delta,low,high
combined23,base16,central_half,37,0.0044194957811448665,0.0024875944324504436,0.00865483494873673
combined23,base16,central_half,mean3,0.005837722076655154,0.0033076101547354353,0.011511502448120686
combined23,base16,xy_fraction6,7,0.003425082830535109,0.0011862615913729863,0.006565493901058002
combined23,base16,xy_fraction6,17,0.004023872489668512,0.0013601128859258432,0.007918562915308573
combined23,base16,xy_fraction6,37,0.003079682211031165,0.0011228646327793024,0.005779255463419815
combined23,base16,xy_fraction6,mean3,0.0035095458437449287,0.0015307811692951386,0.006515039524178244
combined23,base16,xy_fraction4,7,0.0033843896543325203,0.0011621054129772406,0.00662052222539223
combined23,base16,xy_fraction4,17,0.004169892761154426,0.0014920118891942086,0.008145406670842441
combined23,base16,xy_fraction4,37,0.0031334217343260695,0.0012444621485315167,0.005694323809962507
combined23,base16,xy_fraction4,mean3,0.003562568049937672,0.0016070813352124273,0.006580828928740419
combined23,base16,kept_single,7,-0.0018413271006573195,-0.004639554986101166,0.0008346614218023076
combined23,base16,kept_single,17,0.00029419005261921427,-0.004619096698783365,0.0066887081035602
combined23,base16,kept_single,37,-0.0009817026205845014,-0.004815380146036064,0.001801706430967466
combined23,base16,kept_single,mean3,-0.0008429465562075356,-0.003204377980368458,0.0016589247218070841
combined23,base16,sparse_single,7,-0.004732118914592243,-0.010696793755843934,-0.0010066345195112697
combined23,base16,sparse_single,17,-0.0025668866528585355,-0.006584493386947077,-0.00042881920595433187
combined23,base16,sparse_single,37,-0.0006808545783069109,-0.0035569511552896007,0.0030767540073632555
combined23,base16,sparse_single,mean3,-0.00265995338191923,-0.00593199497927684,-0.0004007462248549736
combined23,base16,sparse_context,7,0.0025104876886137273,-3.204497583046972e-05,0.005749255888411428
combined23,base16,sparse_context,17,0.0011584771455168674,-0.0029813896231115577,0.004258111772726666
combined23,base16,sparse_context,37,0.0009934721991806672,-0.0026011448772882443,0.004880968443597452
combined23,base16,sparse_context,mean3,0.0015541456777704206,-0.001176728911551885,0.004303543678231815
combined23,base16,composite,7,0.0017313339215254686,-0.0001378868397607119,0.004435481682429758
combined23,base16,composite,17,0.0024444226656143986,0.00011555918134923127,0.006148371860191479
combined23,base16,composite,37,0.0017489873640595954,8.85295164953226e-05,0.004029480877124863
combined23,base16,composite,mean3,0.0019749146503998207,0.000383854943647996,0.004458694759817564
redundant23,base16,clean,7,0.00020423449177564557,-0.0008878870614828227,0.001521552291720873
redundant23,base16,clean,17,0.00018002116993642847,-0.0006372223608261506,0.001244716945865323
redundant23,base16,clean,37,-0.00011976047166961656,-0.001988043429306971,0.0013074587128583364
redundant23,base16,clean,mean3,8.816506334748582e-05,-0.0005766298969249323,0.0006574286090029829
redundant23,base16,uniform_half_0,7,-0.00032317083565525095,-0.0019248121307406552,0.0014634638863615357
redundant23,base16,uniform_half_0,17,-0.000259612391441677,-0.0021631001243714726,0.0017961723811690696
redundant23,base16,uniform_half_0,37,-0.00035622437464422063,-0.0024399897513851685,0.0012208228995197513
redundant23,base16,uniform_half_0,mean3,-0.0003130025339137162,-0.001090292359324373,0.0004276610824571255
redundant23,base16,uniform_half_1,7,-0.00026898103979777765,-0.0018133405496991827,0.0015936690205516724
redundant23,base16,uniform_half_1,17,-0.00032457572379918087,-0.0022301662768214464,0.0016114111283747087
redundant23,base16,uniform_half_1,37,-0.0010934941237914497,-0.003555999306274962,0.0005757068120980725
redundant23,base16,uniform_half_1,mean3,-0.000562350295796136,-0.0014089754056826396,0.00010553570981881736
redundant23,base16,uniform_half_2,7,-0.0009619592858935988,-0.002426716820311969,0.0003332990906020041
redundant23,base16,uniform_half_2,17,6.13236019865182e-05,-0.0016618636038034929,0.00196757799521314
redundant23,base16,uniform_half_2,37,-0.0010199030271604848,-0.0028266200469976633,0.00012569052502043503
redundant23,base16,uniform_half_2,mean3,-0.0006401795703558552,-0.001405744301071545,-0.00011999213952503149
redundant23,base16,uniform_quarter_0,7,-4.718242262147232e-05,-0.0014958023018418394,0.001547523450139445
redundant23,base16,uniform_quarter_0,17,-1.0320041769817934e-05,-0.0015291737882219796,0.0016129719673098673
redundant23,base16,uniform_quarter_0,37,-0.00015983487250059714,-0.002506369940860659,0.0021845061100993785
redundant23,base16,uniform_quarter_0,mean3,-7.244577896396247e-05,-0.000826425388678036,0.0005555265936904951
redundant23,base16,uniform_quarter_1,7,4.517482675847617e-05,-0.0013163739658031998,0.0016571559361091553
redundant23,base16,uniform_quarter_1,17,-0.00019422369179022958,-0.0016781834273181472,0.001114461170329644
redundant23,base16,uniform_quarter_1,37,-0.0006695973217072382,-0.0030364513003527547,0.001368361213489223
redundant23,base16,uniform_quarter_1,mean3,-0.00027288206224633055,-0.0011227593211122747,0.00034395879263842435
redundant23,base16,uniform_quarter_2,7,0.000491061664380732,-0.0008317398521166558,0.002420264570319129
redundant23,base16,uniform_quarter_2,17,-0.00038774659695184344,-0.0020331385472879076,0.001162779678564284
redundant23,base16,uniform_quarter_2,37,-0.0001875576870065121,-0.0026636653909651864,0.002103218138948047
redundant23,base16,uniform_quarter_2,mean3,-2.8080873192541194e-05,-0.0007416023936583813,0.0007402386012658733
redundant23,base16,central_half,7,0.0007814282758793478,-0.0008181148814160404,0.003119712506125109
redundant23,base16,central_half,17,-0.00034797113406515034,-0.0016484500402483893,0.0009907191637765675
redundant23,base16,central_half,37,-0.0012675505224407635,-0.003313618342246577,0.00030837071913664366
redundant23,base16,central_half,mean3,-0.000278031126875522,-0.0008286687030934899,0.00031812945275478196
redundant23,base16,xy_fraction6,7,0.00023051480175118044,-0.0008428584971049063,0.0015728647430136567
redundant23,base16,xy_fraction6,17,0.00015376754700657802,-0.0007194744796133995,0.0012732515104933097
redundant23,base16,xy_fraction6,37,-1.5183624300196819e-05,-0.0018078710651031477,0.0014295000644626264
redundant23,base16,xy_fraction6,mean3,0.00012303290815252055,-0.0005441343061740682,0.0007169289716841696
