group,label,feature,samples,mean,q10,median,q90,zero_fraction
N4to8,1,IQR_over_range_y,23256,0.4470190065251131,0.2125984251968504,0.41732283464566927,0.7322834645669292,0.0
N4to8,1,IQR_over_range_vr,23256,0.43296387487167814,0.023622047244094488,0.33858267716535434,0.9448818897637795,0.04355865153078775
N4to8,1,IQR_over_range_rcs,23256,0.5057971662210955,0.2677165354330709,0.5039370078740157,0.7637795275590551,0.0
N4to8,1,quartile_asymmetry_x,23256,-0.13018128925834735,-0.8346456692913385,-0.13385826771653545,0.6614173228346457,0.005847953216374269
N4to8,1,quartile_asymmetry_y,23256,0.031096200049297244,-0.6692913385826772,0.031496062992125984,0.6850393700787402,0.007911936704506364
N4to8,1,quartile_asymmetry_vr,23256,0.057564350508817974,-0.937007874015748,0.047244094488188976,0.9763779527559056,0.025799793601651185
N4to8,1,quartile_asymmetry_rcs,23256,0.104035466928863,-0.44881889763779526,0.08661417322834646,0.6614173228346457,0.011566907464740282
N4to8,1,median_position_x,23256,0.16849262843692528,-0.5826771653543307,0.2047244094488189,0.8346456692913385,0.0047729618163054694
N4to8,1,median_position_y,23256,-0.03755156572920645,-0.6614173228346457,-0.047244094488188976,0.6062992125984252,0.006664946680426557
N4to8,1,median_position_vr,23256,-0.14394050201929093,-0.9921259842519685,-0.2125984251968504,0.9133858267716536,0.015092879256965945
N4to8,1,median_position_rcs,23256,-0.12445590199057935,-0.5984251968503937,-0.13385826771653545,0.36220472440944884,0.007739938080495356
Nge9,0,inverse_retained_count,161574,0.05161390178450204,0.03937007874015748,0.047244094488188976,0.07086614173228346,0.0
Nge9,0,IQR_over_range_x,161574,0.4042197968040582,0.18110236220472442,0.3858267716535433,0.6535433070866141,0.0
Nge9,0,IQR_over_range_y,161574,0.3876283400628989,0.1889763779527559,0.3700787401574803,0.6141732283464567,0.0
Nge9,0,IQR_over_range_vr,161574,0.3056276400594194,0.15748031496062992,0.2992125984251969,0.4566929133858268,6.808026043794175e-05
Nge9,0,IQR_over_range_rcs,161574,0.3575635707350982,0.2283464566929134,0.3543307086614173,0.49606299212598426,0.0
Nge9,0,quartile_asymmetry_x,161574,0.017104470987136487,-0.5590551181102362,0.015748031496062992,0.5826771653543307,0.006510948543701338
Nge9,0,quartile_asymmetry_y,161574,-0.0015916745784993669,-0.5354330708661418,0.0,0.5275590551181102,0.008732840679812346
Nge9,0,quartile_asymmetry_vr,161574,-0.030599762240533554,-0.47244094488188976,-0.031496062992125984,0.4094488188976378,0.009989230940621634
Nge9,0,quartile_asymmetry_rcs,161574,0.0060196692985510945,-0.3779527559055118,0.007874015748031496,0.3858267716535433,0.009692153440528798
Nge9,0,median_position_x,161574,-0.049610870385418095,-0.5748031496062992,-0.05511811023622047,0.4881889763779528,0.008318170002599427
Nge9,0,median_position_y,161574,0.0017287610299037547,-0.49606299212598426,0.0,0.5039370078740157,0.007680691200316883
Nge9,0,median_position_vr,161574,0.00042812103646908963,-0.3779527559055118,-0.007874015748031496,0.3937007874015748,0.012229690420488444
Nge9,0,median_position_rcs,161574,-0.04478886785889481,-0.3543307086614173,-0.03937007874015748,0.25984251968503935,0.013028086201987943
Nge9,1,inverse_retained_count,127494,0.05019467335748639,0.03937007874015748,0.047244094488188976,0.06299212598425197,0.0
Nge9,1,IQR_over_range_x,127494,0.41390714202514883,0.2047244094488189,0.4015748031496063,0.6456692913385826,0.0
Nge9,1,IQR_over_range_y,127494,0.3415869871412198,0.1732283464566929,0.33070866141732286,0.5354330708661418,0.0
Nge9,1,IQR_over_range_vr,127494,0.2668399155174077,0.015748031496062992,0.2125984251968504,0.6062992125984252,0.035664423423847395
Nge9,1,IQR_over_range_rcs,127494,0.4682980295259224,0.28346456692913385,0.4645669291338583,0.6535433070866141,0.0
Nge9,1,quartile_asymmetry_x,127494,0.058119702776811236,-0.3858267716535433,0.06299212598425197,0.4881889763779528,0.009482799190550143
Nge9,1,quartile_asymmetry_y,127494,0.021236571392150735,-0.4251968503937008,0.023622047244094488,0.47244094488188976,0.008235681679137841
Nge9,1,quartile_asymmetry_vr,127494,0.014095769089149045,-0.6220472440944882,0.007874015748031496,0.6614173228346457,0.018173404238630838
Nge9,1,quartile_asymmetry_rcs,127494,0.11885932195790223,-0.3464566929133858,0.12598425196850394,0.5748031496062992,0.007906254411972327
Nge9,1,median_position_x,127494,-0.13160193180003285,-0.5826771653543307,-0.14960629921259844,0.3464566929133858,0.009027875821607292
Nge9,1,median_position_y,127494,-0.03399474472721829,-0.5039370078740157,-0.03937007874015748,0.4330708661417323,0.008321960249109762
Nge9,1,median_position_vr,127494,0.006646661402253421,-0.9133858267716536,0.007874015748031496,0.905511811023622,0.00780428882927824
Nge9,1,median_position_rcs,127494,-0.16214380445138132,-0.5039370078740157,-0.18110236220472442,0.1968503937007874,0.008243525185498925
