tag,input_column,canonical_column,feature_name
full36,31,31,quartile_asymmetry_rcs
full36,32,32,median_position_x
full36,33,33,median_position_y
full36,34,34,median_position_vr
full36,35,35,median_position_rcs
redundant36,0,0,点数
redundant36,1,1,x代理均值
redundant36,2,2,y代理均值
redundant36,3,3,x跨度
redundant36,4,4,y跨度
redundant36,5,5,点距离代理最小值
redundant36,6,6,点距离代理最大值
redundant36,7,7,代理中心距离
redundant36,8,8,原LUT密度代理
redundant36,9,9,径向速度代理均值
redundant36,10,10,径向速度离散代理（跨度右移2）
redundant36,11,11,径向速度最小值
redundant36,12,12,径向速度最大值
redundant36,13,13,RCS代理均值
redundant36,14,14,RCS离散代理（跨度右移2）
redundant36,15,15,RCS最大值
redundant36,16,16,4Var(x)/span(x)^2
redundant36,17,17,4Var(y)/span(y)^2
redundant36,18,18,"4Cov(x,y)/(span(x)*span(y))"
redundant36,19,19,4Var(vr_compensated)/span(vr)^2
redundant36,20,20,4Var(RCS)/span(RCS)^2
redundant36,21,21,fraction_abs_vr_le_0.5_m_per_s
redundant36,22,22,2*(mean_RCS-min_RCS)/span_RCS-1
redundant36,23,23,inverse_retained_count
redundant36,24,0,点数
redundant36,25,1,x代理均值
redundant36,26,2,y代理均值
redundant36,27,3,x跨度
redundant36,28,4,y跨度
redundant36,29,9,径向速度代理均值
redundant36,30,13,RCS代理均值
redundant36,31,14,RCS离散代理（跨度右移2）
redundant36,32,16,4Var(x)/span(x)^2
redundant36,33,19,4Var(vr_compensated)/span(vr)^2
redundant36,34,21,fraction_abs_vr_le_0.5_m_per_s
redundant36,35,23,inverse_retained_count
