pool,label,feature,samples,mean,q10,median,q90,zero_fraction,maximum_fraction
kept,1,quartile_asymmetry_rcs,233338,0.09883543611467478,-0.28346456692913385,0.09448818897637795,0.49606299212598426,0.010298365461262204,5.999880002399952e-05
kept,1,median_position_x,233338,-0.1392430756559222,-0.44881889763779526,-0.13385826771653545,0.14960629921259844,0.012368324062090187,5.999880002399952e-05
kept,1,median_position_y,233338,-0.08371395001796252,-0.48031496062992124,-0.07874015748031496,0.2992125984251969,0.010195510375506776,0.00011571197147485621
kept,1,median_position_vr,233338,-0.0345407490050424,-0.9606299212598425,-0.015748031496062992,0.8818897637795275,0.014091146748493601,0.015796826920604447
kept,1,median_position_rcs,233338,-0.15199599270106837,-0.44881889763779526,-0.16535433070866143,0.15748031496062992,0.010242652289811346,5.999880002399952e-05
natural_sparse,0,inverse_retained_count,252312,0.2736335315880626,0.03937007874015748,0.05511811023622047,1.0,0.0,0.19470338311297125
natural_sparse,0,IQR_over_range_x,252312,0.335346588762869,0.0,0.33858267716535434,0.6377952755905512,0.19496496401280955,0.00013079044991914771
natural_sparse,0,IQR_over_range_y,252312,0.3246268586848978,0.0,0.33070866141732286,0.6062992125984252,0.19493325723707156,7.9266939344938e-06
natural_sparse,0,IQR_over_range_vr,252312,0.2701680683807799,0.0,0.28346456692913385,0.5039370078740157,0.19485002695075937,0.0
natural_sparse,0,IQR_over_range_rcs,252312,0.3047757020242155,0.0,0.33070866141732286,0.5039370078740157,0.194715273153873,0.0
natural_sparse,0,quartile_asymmetry_x,252312,0.005355480391356483,-0.5511811023622047,0.0,0.5590551181102362,0.24405497954912964,0.0012563809886172676
natural_sparse,0,quartile_asymmetry_y,252312,-0.002339654216389507,-0.49606299212598426,0.0,0.4881889763779528,0.24581470560258728,0.0005509052284473192
natural_sparse,0,quartile_asymmetry_vr,252312,-0.021840756838240268,-0.4251968503937008,0.0,0.36220472440944884,0.24686102920194045,0.00047163828910238117
natural_sparse,0,quartile_asymmetry_rcs,252312,0.010598520317177609,-0.33858267716535434,0.0,0.3700787401574803,0.24651621801578996,5.152351057420971e-05
natural_sparse,0,median_position_x,252312,-0.020630687714972566,-0.5354330708661418,0.0,0.49606299212598426,0.24501807286217064,0.00028536098164177684
natural_sparse,0,median_position_y,252312,0.000133474291172559,-0.4645669291338583,0.0,0.4645669291338583,0.24472478518659438,7.9266939344938e-06
natural_sparse,0,median_position_vr,252312,0.0021512235944348866,-0.3464566929133858,0.0,0.36220472440944884,0.2479707663527696,0.0
natural_sparse,0,median_position_rcs,252312,-0.0412186524220856,-0.3543307086614173,0.0,0.23622047244094488,0.24845033133580646,3.9633469672469e-06
natural_sparse,1,inverse_retained_count,222270,0.3296641064690776,0.03937007874015748,0.05511811023622047,1.0,0.0,0.23943402168533764
natural_sparse,1,IQR_over_range_x,222270,0.3272500034539818,0.0,0.3543307086614173,0.6141732283464567,0.23951500427408107,4.499032707967787e-06
natural_sparse,1,IQR_over_range_y,222270,0.2840938292755247,0.0,0.2992125984251969,0.5196850393700787,0.23964097718990418,1.349709812390336e-05
natural_sparse,1,IQR_over_range_vr,222270,0.237630759780348,0.0,0.14960629921259844,0.5748031496062992,0.268857695595447,0.0019255859990102127
natural_sparse,1,IQR_over_range_rcs,222270,0.36302266272593914,0.0,0.4251968503937008,0.6377952755905512,0.23944751878346154,8.998065415935573e-06
