tag,reference,seed,condition,delta_macro_f1,new_errors,repaired_errors
no_rcs18,A,17,uniform_quarter_2,-0.014989254123641937,2855,1656
no_rcs18,A,37,uniform_quarter_2,-0.01212108587787386,2613,1644
no_rcs18,A,7,central_half,-0.015034584347786928,2365,1175
no_rcs18,A,17,central_half,-0.012321103095456198,2366,1391
no_rcs18,A,37,central_half,-0.01183667082769746,2192,1256
no_rcs18,A,7,xy_fraction6,-0.018729144832485,2037,599
no_rcs18,A,17,xy_fraction6,-0.021051918903980837,2160,555
no_rcs18,A,37,xy_fraction6,-0.016940095895264018,1980,690
no_rcs18,A,7,xy_fraction4,-0.018743615326478502,2031,592
no_rcs18,A,17,xy_fraction4,-0.020959612617986956,2163,565
no_rcs18,A,37,xy_fraction4,-0.017177532458596767,1989,681
no_rcs18,A,7,kept_single,-0.016268159011093686,3099,1779
no_rcs18,A,17,kept_single,-0.016400782910123257,3292,1954
no_rcs18,A,37,kept_single,-0.013533026697762796,3001,1890
no_rcs18,A,7,sparse_single,0.025736561019922055,2549,5056
no_rcs18,A,17,sparse_single,0.03003896146972207,1975,4886
no_rcs18,A,37,sparse_single,0.04443203381848404,2242,6532
no_rcs18,A,7,sparse_context,0.0013780454145044807,2596,2737
no_rcs18,A,17,sparse_context,0.009281502086306181,2270,3176
no_rcs18,A,37,sparse_context,0.012448085651422636,2495,3700
no_rcs18,B,7,clean,-0.018300460301750476,2123,711
no_rcs18,B,17,clean,-0.021971072779203404,2210,535
no_rcs18,B,37,clean,-0.017511749115996178,1996,660
no_rcs18,B,7,uniform_half_0,-0.023903436435425918,2727,867
no_rcs18,B,17,uniform_half_0,-0.02666284446236733,2720,665
no_rcs18,B,37,uniform_half_0,-0.024450633802826527,2561,676
no_rcs18,B,7,uniform_half_1,-0.023920646182641003,2751,890
no_rcs18,B,17,uniform_half_1,-0.026301200208353137,2731,705
no_rcs18,B,37,uniform_half_1,-0.023091490080449084,2558,778
no_rcs18,B,7,uniform_half_2,-0.02409527970352565,2749,875
no_rcs18,B,17,uniform_half_2,-0.02636928014478035,2706,673
no_rcs18,B,37,uniform_half_2,-0.023904658338492202,2552,709
no_rcs18,B,7,uniform_quarter_0,-0.027069347943714406,3006,889
no_rcs18,B,17,uniform_quarter_0,-0.02792122688295906,2956,791
no_rcs18,B,37,uniform_quarter_0,-0.026127104903077458,2857,831
no_rcs18,B,7,uniform_quarter_1,-0.028124609135565137,3055,860
no_rcs18,B,17,uniform_quarter_1,-0.028755284422900096,2978,750
