tag,seed,condition,axis,group,samples,sequences,supported,accuracy,macro_f1
A,7,uniform_half_1,retained_N,65-511,569,14,True,0.9666080843585237,0.7035239270533388
A,7,uniform_half_1,original_shape,compact,4336,26,True,0.9718634686346863,0.9638850497683829
A,7,uniform_half_1,original_shape,elongated,45116,27,True,0.9811818423619115,0.9737661257105769
A,7,uniform_half_1,original_shape,intermediate,30998,27,True,0.9674172527259823,0.9670618311013532
A,7,uniform_half_1,N_x_original_shape,1-2:elongated,1081,26,True,0.9167437557816837,0.9108020390200968
A,7,uniform_half_1,N_x_original_shape,1-2:intermediate,484,27,True,0.9152892561983471,0.8908560899815747
A,7,uniform_half_1,N_x_original_shape,1-2:compact,50,14,False,0.86,0.8461538461538463
A,7,uniform_half_1,N_x_original_shape,3-4:elongated,932,27,True,0.9420600858369099,0.9306528508832363
A,7,uniform_half_1,N_x_original_shape,3-4:intermediate,568,25,True,0.9330985915492958,0.9266847826086957
A,7,uniform_half_1,N_x_original_shape,3-4:compact,66,17,False,0.8939393939393939,0.888162672476398
A,7,uniform_half_1,N_x_original_shape,5-8:elongated,2275,26,True,0.9560439560439561,0.9470179119048773
A,7,uniform_half_1,N_x_original_shape,5-8:intermediate,996,27,True,0.9246987951807228,0.9208732542065875
A,7,uniform_half_1,N_x_original_shape,5-8:compact,121,18,True,0.9008264462809917,0.9006568144499179
A,7,uniform_half_1,N_x_original_shape,9-16:elongated,19967,27,True,0.9786647969149096,0.9754196250589344
A,7,uniform_half_1,N_x_original_shape,9-16:intermediate,15866,27,True,0.97441068952477,0.9732550894746024
A,7,uniform_half_1,N_x_original_shape,9-16:compact,2111,22,True,0.9819990525817148,0.9673126071677718
A,7,uniform_half_1,N_x_original_shape,17-32:elongated,14587,26,True,0.9899910879550284,0.9822560924441301
A,7,uniform_half_1,N_x_original_shape,17-32:intermediate,10253,25,True,0.9683994928313664,0.9674501583452422
A,7,uniform_half_1,N_x_original_shape,17-32:compact,1682,21,True,0.9684898929845422,0.9606440798137672
A,7,uniform_half_1,N_x_original_shape,33-64:elongated,5882,20,True,0.995409724583475,0.9810795229743798
A,7,uniform_half_1,N_x_original_shape,33-64:intermediate,2658,22,True,0.9574868322046651,0.9493199583226117
