tag,reference,condition,seed,delta,low,high
mean_natural,A,sparse_single,17,0.0389566077903124,0.02523796192590251,0.0617964485270849
mean_natural,A,sparse_single,37,0.05745481345567538,0.04398045016712965,0.08380417280452691
mean_natural,A,sparse_single,mean3,0.045034741309173766,0.03409859682312937,0.06622998967279248
mean_natural,A,sparse_context,7,0.01570660974542093,0.01005974255604046,0.02565228089224009
mean_natural,A,sparse_context,17,0.023495632589594306,0.01641948190375077,0.03679278747932006
mean_natural,A,sparse_context,37,0.02660899307108555,0.01826446874615917,0.042165356319359006
mean_natural,A,sparse_context,mean3,0.02193707846870026,0.015864359629014908,0.03427391880069441
mean_natural,A,composite,7,0.01629197738207755,0.01279272907487997,0.023827862084915045
mean_natural,A,composite,17,0.017800586973452104,0.013055631907490867,0.0259906393274672
mean_natural,A,composite,37,0.02273085919095108,0.017848375408306465,0.0327395543821558
mean_natural,A,composite,mean3,0.018941141182160243,0.014827986528399548,0.027252276619666952
mean_natural,B,clean,7,0.0025029462691305016,-0.0026166533674124998,0.007166179812343176
mean_natural,B,clean,17,0.00010662700234809197,-0.0026452463707603846,0.0022860004439090864
mean_natural,B,clean,37,0.0010160051667478243,-0.0001951723209936168,0.0027440776734617414
mean_natural,B,clean,mean3,0.0012085261460754726,-0.0012266164287051534,0.0033041002824394238
mean_natural,B,uniform_half_0,7,0.0013193587139146423,-0.005473764633317005,0.0069931054367728205
mean_natural,B,uniform_half_0,17,-0.0006701908962374326,-0.004853161593673749,0.0025896204063533424
mean_natural,B,uniform_half_0,37,-0.0009560761544361585,-0.0029527480859903228,0.00044404677992257425
mean_natural,B,uniform_half_0,mean3,-0.00010230277891964956,-0.003991477911613992,0.003065455715398081
mean_natural,B,uniform_half_1,7,0.0018272799698302311,-0.004460143111184941,0.0074979864200362956
mean_natural,B,uniform_half_1,17,0.00024369621174247236,-0.0033827874417458963,0.00336436436484159
mean_natural,B,uniform_half_1,37,-0.00030041357576815475,-0.0015188295201884528,0.0006768906460153848
