tag,seed,condition,samples,accuracy,macro_f1,class0_f1,class1_f1,class0_recall,class1_recall,true0_pred0,true0_pred1,true1_pred0,true1_pred1
proxy_synthetic,7,uniform_quarter_2,80450,0.9704536979490367,0.968900479046185,0.9619503449600615,0.9758506131323086,0.9836317805349134,0.9623870308398292,30047,500,1877,48026
proxy_synthetic,7,central_half,80450,0.9656681168427594,0.9641038754865545,0.9566105316073897,0.9715972193657192,0.9967263561069827,0.9466565136364548,30447,100,2662,47241
proxy_synthetic,7,xy_fraction6,80450,0.9814667495338719,0.9804271444315649,0.9759162641942205,0.9849380246689093,0.9889350836416014,0.9768951766426868,30209,338,1153,48750
proxy_synthetic,7,xy_fraction4,80450,0.9814294592914854,0.9803881184030248,0.9758689753198088,0.9849072614862407,0.9889350836416014,0.9768350600164318,30209,338,1156,48747
proxy_synthetic,7,kept_single,80450,0.9672467371037912,0.9655617973984649,0.9579442981406113,0.9731792966563184,0.982420532294497,0.9579584393723825,30010,537,2098,47805
proxy_synthetic,7,sparse_single,97734,0.9500276260052797,0.9498398370875751,0.9529089611817112,0.946770712993439,0.9640070230198986,0.93460859835607,49415,1845,3039,43435
proxy_synthetic,7,sparse_context,97734,0.9640248020136288,0.9638866921060748,0.966119986895103,0.9616533973170466,0.977975029262583,0.9486379481000129,50131,1129,2387,44087
proxy_synthetic,17,clean,80450,0.982486016159105,0.9814941586137604,0.9772098665588355,0.9857784506686853,0.9889023472026713,0.9785584033024066,30208,339,1070,48833
proxy_synthetic,17,uniform_half_0,80450,0.9795276569297701,0.9783946573033422,0.9734470472536154,0.9833422673530691,0.9883130913019281,0.9741498507103782,30190,357,1290,48613
proxy_synthetic,17,uniform_half_1,80450,0.9791423244251087,0.9779860146486676,0.972940721150745,0.9830313081465901,0.9875601532065342,0.9739895397070316,30167,380,1298,48605
proxy_synthetic,17,uniform_half_2,80450,0.9790428837787446,0.9778869051750678,0.9728309913626402,0.9829428189874955,0.9881494091072773,0.9734685289461555,30185,362,1324,48579
proxy_synthetic,17,uniform_quarter_0,80450,0.9714978247358608,0.969978356864749,0.9632243267950795,0.9767323869344184,0.9830425246341703,0.964430996132497,30029,518,1775,48128
proxy_synthetic,17,uniform_quarter_1,80450,0.9725543816034804,0.9710784346620677,0.9645449290256278,0.9776119402985075,0.9832062068288212,0.966034106165962,30034,513,1695,48208
proxy_synthetic,17,uniform_quarter_2,80450,0.9721814791796146,0.970698975126436,0.9641081566539436,0.9772897935989284,0.9839918813631453,0.9649520068933731,30058,489,1749,48154
proxy_synthetic,17,central_half,80450,0.9672715972653823,0.9657567277987209,0.958554361000488,0.972959094596954,0.9967590925459129,0.9492214896899986,30448,99,2534,47369
proxy_synthetic,17,xy_fraction6,80450,0.9824984462399006,0.9815071801750452,0.9772256728778468,0.9857886874722436,0.9889023472026713,0.978578442177825,30208,339,1069,48834
proxy_synthetic,17,xy_fraction4,80450,0.982436295835923,0.9814409452225861,0.9771429495786085,0.9857389408665638,0.9887386650080204,0.978578442177825,30203,344,1069,48834
proxy_synthetic,17,kept_single,80450,0.9678309509011809,0.9661680359375475,0.9586673906794008,0.9736686811956942,0.9825187416112875,0.9588401498907881,30013,534,2054,47849
proxy_synthetic,17,sparse_single,97734,0.9452698139848977,0.9451383091484742,0.9478243057384484,0.9424523125584998,0.9478150604760047,0.9424624521237681,48585,2675,2674,43800
proxy_synthetic,17,sparse_context,97734,0.9649047414410543,0.9647810492815352,0.966868226339277,0.9626938722237932,0.9763558330081935,0.952274389981495,50048,1212,2218,44256
proxy_synthetic,37,clean,80450,0.983219390926041,0.9822476859812297,0.9780943726877394,0.9864009992747199,0.9866435329164893,0.9811233793559505,30139,408,942,48961
proxy_synthetic,37,uniform_half_0,80450,0.9797016780609074,0.9785261428350346,0.9735018741785256,0.9835504114915435,0.9819949585884048,0.9782978979219686,29997,550,1083,48820
proxy_synthetic,37,uniform_half_1,80450,0.9794903666873834,0.9783029943020198,0.9732273243550219,0.9833786642490179,0.9817658035158935,0.9780975091677855,29990,557,1093,48810
proxy_synthetic,37,uniform_half_2,80450,0.9794903666873834,0.9783053956545911,0.9732351414482222,0.9833756498609599,0.9820604314662651,0.9779171592890207,29999,548,1102,48801
proxy_synthetic,37,uniform_quarter_0,80450,0.9716469857054071,0.9700380073751362,0.963094795087935,0.9769812196623374,0.9743346318787443,0.9700018034987876,29763,784,1497,48406
proxy_synthetic,37,uniform_quarter_1,80450,0.972591671845867,0.971030300780978,0.9643047933563207,0.9777558082056352,0.9750220970962779,0.9711039416467948,29784,763,1442,48461
proxy_synthetic,37,uniform_quarter_2,80450,0.9720198881292729,0.9704335109510127,0.9635848903987705,0.9772821315032548,0.9749566242184176,0.9702222311283891,29782,765,1486,48417
proxy_synthetic,37,central_half,80450,0.9704536979490367,0.969025153587886,0.9623731657511911,0.9756771414245807,0.9951222705994042,0.955353385568002,30398,149,2228,47675
proxy_synthetic,37,xy_fraction6,80450,0.98319453076445,0.9822218237707705,0.9780633437175493,0.9863803038239917,0.9866762693554195,0.9810632627296956,30140,407,945,48958
proxy_synthetic,37,xy_fraction4,80450,0.9831572405220634,0.9821824847581508,0.9780150244187367,0.9863499450975651,0.9866435329164893,0.981023184978859,30139,408,947,48956
proxy_synthetic,37,kept_single,80450,0.9686513362336855,0.9669376017916043,0.9594103067563653,0.9744648968268432,0.9757422987527417,0.9643107628799872,29806,741,1781,48122
proxy_synthetic,37,sparse_single,97734,0.9358462766283996,0.9357693639240443,0.9379920091775782,0.9335467186705104,0.9251463129145533,0.9476481473512072,47423,3837,2433,44041
